Year,Age,Sex,Country,Population
2036, 70-74,Total,Scotland,343724.0
2036, 75-79,Total,Scotland,275937.0
2036, 80-84,Total,Scotland,192284.0
2036, 85-89,Total,Scotland,127486.0
2036, 90-94,Total,Scotland,49131.0
2036, 95-99,Total,Scotland,12451.0
2036, 100 & over,Total,Scotland,1605.0
2036,All ages,Total,Scotland,5524773.0
2037,  0-4,Total,Scotland,223229.0
2037,  5-9,Total,Scotland,232380.0
2037, 10-14,Total,Scotland,241458.0
2037, 15-19,Total,Scotland,265105.0
2037, 20-24,Total,Scotland,337471.0
2037, 25-29,Total,Scotland,364165.0
2037, 30-34,Total,Scotland,346385.0
2037, 35-39,Total,Scotland,358534.0
2037, 40-44,Total,Scotland,380647.0
2037, 45-49,Total,Scotland,397157.0
2037, 50-54,Total,Scotland,360763.0
2037, 55-59,Total,Scotland,335548.0
2037, 60-64,Total,Scotland,310318.0
2037, 65-69,Total,Scotland,351001.0
2037, 70-74,Total,Scotland,344396.0
2037, 75-79,Total,Scotland,282696.0
2037, 80-84,Total,Scotland,197867.0
2037, 85-89,Total,Scotland,123989.0
2037, 90-94,Total,Scotland,55007.0
2037, 95-99,Total,Scotland,12739.0
2037, 100 & over,Total,Scotland,1653.0
2037,All ages,Total,Scotland,5522508.0
2038,  0-4,Total,Scotland,223302.0
2038,  5-9,Total,Scotland,231410.0
2038, 10-14,Total,Scotland,241116.0
2038, 15-19,Total,Scotland,258057.00000000003
2038, 20-24,Total,Scotland,332155.0
2038, 25-29,Total,Scotland,363360.0
2038, 30-34,Total,Scotland,353386.0
2038, 35-39,Total,Scotland,352914.0
2038, 40-44,Total,Scotland,376870.0
2038, 45-49,Total,Scotland,397868.0
2038, 50-54,Total,Scotland,367012.0
2038, 55-59,Total,Scotland,344377.0
2038, 60-64,Total,Scotland,303520.0
2038, 65-69,Total,Scotland,341602.0
2038, 70-74,Total,Scotland,343135.0
2038, 75-79,Total,Scotland,289618.0
2038, 80-84,Total,Scotland,203523.0
2038, 85-89,Total,Scotland,123507.0
2038, 90-94,Total,Scotland,58198.0
2038, 95-99,Total,Scotland,13299.0
2038, 100 & over,Total,Scotland,1714.0
2038,All ages,Total,Scotland,5519943.0
2039,  0-4,Total,Scotland,223712.0
2039,  5-9,Total,Scotland,230515.0
2039, 10-14,Total,Scotland,240275.0
2039, 15-19,Total,Scotland,252890.0
2039, 20-24,Total,Scotland,326248.0
2039, 25-29,Total,Scotland,360954.0
2039, 30-34,Total,Scotland,359421.0
2039, 35-39,Total,Scotland,349630.0
2039, 40-44,Total,Scotland,373914.0
2039, 45-49,Total,Scotland,396574.0
2039, 50-54,Total,Scotland,374101.0
2039, 55-59,Total,Scotland,348065.0
2039, 60-64,Total,Scotland,305092.0
2039, 65-69,Total,Scotland,329934.0
2039, 70-74,Total,Scotland,340523.0
2039, 75-79,Total,Scotland,295246.0
2039, 80-84,Total,Scotland,209707.0
2039, 85-89,Total,Scotland,124436.0
2039, 90-94,Total,Scotland,60166.0
2039, 95-99,Total,Scotland,13914.0
2039, 100 & over,Total,Scotland,1764.0
2039,All ages,Total,Scotland,5517081.0
2040,  0-4,Total,Scotland,224411.0
2040,  5-9,Total,Scotland,229737.0
2040, 10-14,Total,Scotland,239176.0
2040, 15-19,Total,Scotland,249914.0
2040, 20-24,Total,Scotland,318258.0
2040, 25-29,Total,Scotland,359882.0
2040, 30-34,Total,Scotland,362874.0
2040, 35-39,Total,Scotland,348543.0
2040, 40-44,Total,Scotland,371687.0
2040, 45-49,Total,Scotland,392688.0
2040, 50-54,Total,Scotland,379676.0
2040, 55-59,Total,Scotland,351384.0
2040, 60-64,Total,Scotland,310412.0
2040, 65-69,Total,Scotland,319997.0
2040, 70-74,Total,Scotland,334723.0
2040, 75-79,Total,Scotland,301060.0
2040, 80-84,Total,Scotland,215645.0
2040, 85-89,Total,Scotland,126264.0
2040, 90-94,Total,Scotland,61546.0
2040, 95-99,Total,Scotland,14284.0
2040, 100 & over,Total,Scotland,1808.0
2040,All ages,Total,Scotland,5513969.0
2041,  0-4,Total,Scotland,225225.0
2041,  5-9,Total,Scotland,229174.0
2041, 10-14,Total,Scotland,238076.0
2041, 15-19,Total,Scotland,248842.0
2041, 20-24,Total,Scotland,308728.0
2041, 25-29,Total,Scotland,355051.0
2041, 30-34,Total,Scotland,368898.0
2041, 35-39,Total,Scotland,348293.0
2041, 40-44,Total,Scotland,368745.0
2041, 45-49,Total,Scotland,386110.0
2041, 50-54,Total,Scotland,387537.0
2041, 55-59,Total,Scotland,354071.0
2041, 60-64,Total,Scotland,317492.0
2041, 65-69,Total,Scotland,309059.0
2041, 70-74,Total,Scotland,332038.0
2041, 75-79,Total,Scotland,303000.0
2041, 80-84,Total,Scotland,221580.0
2041, 85-89,Total,Scotland,129638.0
2041, 90-94,Total,Scotland,62351.0
2041, 95-99,Total,Scotland,14863.0
2041, 100 & over,Total,Scotland,1813.0
2041,All ages,Total,Scotland,5510584.0
2042,  0-4,Total,Scotland,225958.0
2042,  5-9,Total,Scotland,228914.0
2042, 10-14,Total,Scotland,237036.0
2042, 15-19,Total,Scotland,248516.0
2042, 20-24,Total,Scotland,300245.0
2042, 25-29,Total,Scotland,349779.0
2042, 30-34,Total,Scotland,372056.0
2042, 35-39,Total,Scotland,352814.0
2042, 40-44,Total,Scotland,361259.0
2042, 45-49,Total,Scotland,380313.0
2042, 50-54,Total,Scotland,394830.0
2042, 55-59,Total,Scotland,356905.0
2042, 60-64,Total,Scotland,328192.0
2042, 65-69,Total,Scotland,297766.0
2042, 70-74,Total,Scotland,326664.0
2042, 75-79,Total,Scotland,303983.0
2042, 80-84,Total,Scotland,227605.0
2042, 85-89,Total,Scotland,134019.0
2042, 90-94,Total,Scotland,61193.0
2042, 95-99,Total,Scotland,17012.0
2042, 100 & over,Total,Scotland,1873.0
2042,All ages,Total,Scotland,5506932.0
2043,  0-4,Total,Scotland,226521.0
2043,  5-9,Total,Scotland,228987.0
2043, 10-14,Total,Scotland,236053.0
2043, 15-19,Total,Scotland,248178.0
2043, 20-24,Total,Scotland,292868.0
2043, 25-29,Total,Scotland,344535.0
2043, 30-34,Total,Scotland,371296.0
2043, 35-39,Total,Scotland,359859.0
2043, 40-44,Total,Scotland,355653.0
2043, 45-49,Total,Scotland,376582.0
2043, 50-54,Total,Scotland,395625.0
2043, 55-59,Total,Scotland,363158.0
2043, 60-64,Total,Scotland,336929.0
2043, 65-69,Total,Scotland,291412.0
2043, 70-74,Total,Scotland,318143.0
2043, 75-79,Total,Scotland,303301.0
2043, 80-84,Total,Scotland,233791.0
2043, 85-89,Total,Scotland,138515.0
2043, 90-94,Total,Scotland,61519.0
2043, 95-99,Total,Scotland,18107.0
2043, 100 & over,Total,Scotland,1987.0
2043,All ages,Total,Scotland,5503019.0
2044,  0-4,Total,Scotland,226853.0
2044,  5-9,Total,Scotland,229397.0
2044, 10-14,Total,Scotland,235150.0
2044, 15-19,Total,Scotland,247336.0
2044, 20-24,Total,Scotland,287446.0
2044, 25-29,Total,Scotland,338710.0
2044, 30-34,Total,Scotland,368913.0
2044, 35-39,Total,Scotland,365956.0
2044, 40-44,Total,Scotland,352398.0
2044, 45-49,Total,Scotland,373682.0
2044, 50-54,Total,Scotland,394404.0
2044, 55-59,Total,Scotland,370255.0
2044, 60-64,Total,Scotland,340671.0
2044, 65-69,Total,Scotland,293105.0
2044, 70-74,Total,Scotland,307472.0
2044, 75-79,Total,Scotland,301405.0
2044, 80-84,Total,Scotland,238933.0
2044, 85-89,Total,Scotland,143395.0
2044, 90-94,Total,Scotland,62543.0
2044, 95-99,Total,Scotland,18747.0
2044, 100 & over,Total,Scotland,2103.0
2044,All ages,Total,Scotland,5498874.0
2045,  0-4,Total,Scotland,226828.0
2045,  5-9,Total,Scotland,230109.0
2045, 10-14,Total,Scotland,234365.0
2045, 15-19,Total,Scotland,246229.0
2045, 20-24,Total,Scotland,284325.0
2045, 25-29,Total,Scotland,330826.0
2045, 30-34,Total,Scotland,367849.0
2045, 35-39,Total,Scotland,369473.0
2045, 40-44,Total,Scotland,351343.0
2045, 45-49,Total,Scotland,371511.0
2045, 50-54,Total,Scotland,390603.0
2045, 55-59,Total,Scotland,375865.0
2045, 60-64,Total,Scotland,344051.0
2045, 65-69,Total,Scotland,298437.0
2045, 70-74,Total,Scotland,298402.0
2045, 75-79,Total,Scotland,296681.0
2045, 80-84,Total,Scotland,244183.0
2045, 85-89,Total,Scotland,148012.0
2045, 90-94,Total,Scotland,63997.0
2045, 95-99,Total,Scotland,19153.0
2045, 100 & over,Total,Scotland,2169.0
2045,All ages,Total,Scotland,5494411.0
2046,  0-4,Total,Scotland,226393.0
2046,  5-9,Total,Scotland,230931.0
2046, 10-14,Total,Scotland,233795.0
2046, 15-19,Total,Scotland,245121.0
2046, 20-24,Total,Scotland,283188.0
2046, 25-29,Total,Scotland,321419.0
2046, 30-34,Total,Scotland,363034.0
2046, 35-39,Total,Scotland,375543.0
2046, 40-44,Total,Scotland,351133.0
2046, 45-49,Total,Scotland,368641.0
2046, 50-54,Total,Scotland,384141.0
2046, 55-59,Total,Scotland,383729.0
2046, 60-64,Total,Scotland,346810.0
2046, 65-69,Total,Scotland,305466.0
2046, 70-74,Total,Scotland,288464.0
2046, 75-79,Total,Scotland,294713.0
2046, 80-84,Total,Scotland,246237.0
2046, 85-89,Total,Scotland,152753.0
2046, 90-94,Total,Scotland,66286.0
2046, 95-99,Total,Scotland,19431.0
2046, 100 & over,Total,Scotland,2273.0
2046,All ages,Total,Scotland,5489501.0
2047,  0-4,Total,Scotland,225570.0
2047,  5-9,Total,Scotland,231671.0
2047, 10-14,Total,Scotland,233535.0
2047, 15-19,Total,Scotland,244067.0
2047, 20-24,Total,Scotland,282841.0
2047, 25-29,Total,Scotland,313076.0
2047, 30-34,Total,Scotland,357759.0
2047, 35-39,Total,Scotland,378761.0
2047, 40-44,Total,Scotland,355672.0
2047, 45-49,Total,Scotland,361253.0
2047, 50-54,Total,Scotland,378446.0
2047, 55-59,Total,Scotland,391036.0
2047, 60-64,Total,Scotland,349723.0
2047, 65-69,Total,Scotland,315923.0
2047, 70-74,Total,Scotland,278167.0
2047, 75-79,Total,Scotland,290347.0
2047, 80-84,Total,Scotland,247561.0
2047, 85-89,Total,Scotland,157601.0
2047, 90-94,Total,Scotland,69069.0
2047, 95-99,Total,Scotland,19335.0
2047, 100 & over,Total,Scotland,2684.0
2047,All ages,Total,Scotland,5484097.0
2048,  0-4,Total,Scotland,224347.0
2048,  5-9,Total,Scotland,232241.0
2048, 10-14,Total,Scotland,233612.0
2048, 15-19,Total,Scotland,243081.0
2048, 20-24,Total,Scotland,282473.0
2048, 25-29,Total,Scotland,305821.0
2048, 30-34,Total,Scotland,352517.0
2048, 35-39,Total,Scotland,378047.0
2048, 40-44,Total,Scotland,362760.0
2048, 45-49,Total,Scotland,355707.0
2048, 50-54,Total,Scotland,374792.0
2048, 55-59,Total,Scotland,391934.0
2048, 60-64,Total,Scotland,355969.0
2048, 65-69,Total,Scotland,324470.0
2048, 70-74,Total,Scotland,272502.0
2048, 75-79,Total,Scotland,283103.0
2048, 80-84,Total,Scotland,247594.0
2048, 85-89,Total,Scotland,162618.0
2048, 90-94,Total,Scotland,71959.0
2048, 95-99,Total,Scotland,19709.0
2048, 100 & over,Total,Scotland,2870.0
2048,All ages,Total,Scotland,5478126.0
2049,  0-4,Total,Scotland,222714.0
2049,  5-9,Total,Scotland,232575.0
2049, 10-14,Total,Scotland,234024.0
2049, 15-19,Total,Scotland,242176.0
2049, 20-24,Total,Scotland,281587.0
2049, 25-29,Total,Scotland,300507.0
2049, 30-34,Total,Scotland,346684.0
2049, 35-39,Total,Scotland,375692.0
2049, 40-44,Total,Scotland,368911.0
2049, 45-49,Total,Scotland,352506.0
2049, 50-54,Total,Scotland,371974.0
2049, 55-59,Total,Scotland,390803.0
2049, 60-64,Total,Scotland,363043.0
2049, 65-69,Total,Scotland,328236.0
2049, 70-74,Total,Scotland,274381.0
2049, 75-79,Total,Scotland,273892.0
2049, 80-84,Total,Scotland,246609.0
2049, 85-89,Total,Scotland,166893.0
2049, 90-94,Total,Scotland,75063.0
2049, 95-99,Total,Scotland,20303.0
2049, 100 & over,Total,Scotland,2972.0
2049,All ages,Total,Scotland,5471545.0
2050,  0-4,Total,Scotland,220756.0
