Year,Age,Sex,Country,Population
2038, 75-79,Total,Wales,174026.0
2038, 80-84,Total,Wales,124724.0
2038, 85-89,Total,Wales,82968.0
2038, 90-94,Total,Wales,42611.0
2038, 95-99,Total,Wales,9945.0
2038, 100 & over,Total,Wales,1276.0
2038,All ages,Total,Wales,3313822.0
2039,  0-4,Total,Wales,147230.0
2039,  5-9,Total,Wales,152355.0
2039, 10-14,Total,Wales,156917.0
2039, 15-19,Total,Wales,162060.0
2039, 20-24,Total,Wales,204744.0
2039, 25-29,Total,Wales,213540.0
2039, 30-34,Total,Wales,207886.0
2039, 35-39,Total,Wales,202000.0
2039, 40-44,Total,Wales,213783.0
2039, 45-49,Total,Wales,222021.0
2039, 50-54,Total,Wales,205682.0
2039, 55-59,Total,Wales,196096.0
2039, 60-64,Total,Wales,178757.0
2039, 65-69,Total,Wales,202898.0
2039, 70-74,Total,Wales,207263.0
2039, 75-79,Total,Wales,178745.0
2039, 80-84,Total,Wales,127461.0
2039, 85-89,Total,Wales,82831.0
2039, 90-94,Total,Wales,43729.0
2039, 95-99,Total,Wales,10581.0
2039, 100 & over,Total,Wales,1324.0
2039,All ages,Total,Wales,3317903.0
2040,  0-4,Total,Wales,147785.0
2040,  5-9,Total,Wales,152299.0
2040, 10-14,Total,Wales,156863.0
2040, 15-19,Total,Wales,161157.0
2040, 20-24,Total,Wales,200315.0
2040, 25-29,Total,Wales,211981.0
2040, 30-34,Total,Wales,211357.0
2040, 35-39,Total,Wales,200011.0
2040, 40-44,Total,Wales,215103.0
2040, 45-49,Total,Wales,221020.0
2040, 50-54,Total,Wales,209521.0
2040, 55-59,Total,Wales,197257.0
2040, 60-64,Total,Wales,182310.0
2040, 65-69,Total,Wales,196571.0
2040, 70-74,Total,Wales,204587.0
2040, 75-79,Total,Wales,183164.0
2040, 80-84,Total,Wales,131157.0
2040, 85-89,Total,Wales,82591.0
2040, 90-94,Total,Wales,44342.0
2040, 95-99,Total,Wales,11094.0
2040, 100 & over,Total,Wales,1360.0
2040,All ages,Total,Wales,3321845.0
2041,  0-4,Total,Wales,148352.0
2041,  5-9,Total,Wales,152326.0
2041, 10-14,Total,Wales,156795.0
2041, 15-19,Total,Wales,162114.0
2041, 20-24,Total,Wales,193842.0
2041, 25-29,Total,Wales,209713.0
2041, 30-34,Total,Wales,214357.0
2041, 35-39,Total,Wales,199762.0
2041, 40-44,Total,Wales,215249.0
2041, 45-49,Total,Wales,218953.0
2041, 50-54,Total,Wales,215141.0
2041, 55-59,Total,Wales,198084.0
2041, 60-64,Total,Wales,187454.0
2041, 65-69,Total,Wales,187802.0
2041, 70-74,Total,Wales,204267.0
2041, 75-79,Total,Wales,185354.0
2041, 80-84,Total,Wales,135270.0
2041, 85-89,Total,Wales,83360.0
2041, 90-94,Total,Wales,44522.0
2041, 95-99,Total,Wales,11540.0
2041, 100 & over,Total,Wales,1394.0
2041,All ages,Total,Wales,3325651.0
2042,  0-4,Total,Wales,148807.0
2042,  5-9,Total,Wales,152488.0
2042, 10-14,Total,Wales,156724.0
2042, 15-19,Total,Wales,162626.0
2042, 20-24,Total,Wales,188866.0
2042, 25-29,Total,Wales,206973.0
2042, 30-34,Total,Wales,216329.0
2042, 35-39,Total,Wales,202970.0
2042, 40-44,Total,Wales,211730.0
2042, 45-49,Total,Wales,217802.0
2042, 50-54,Total,Wales,220202.0
2042, 55-59,Total,Wales,200581.0
2042, 60-64,Total,Wales,191542.0
2042, 65-69,Total,Wales,180733.0
2042, 70-74,Total,Wales,202091.0
2042, 75-79,Total,Wales,186429.0
2042, 80-84,Total,Wales,139551.0
2042, 85-89,Total,Wales,85099.0
2042, 90-94,Total,Wales,43378.0
2042, 95-99,Total,Wales,13043.0
2042, 100 & over,Total,Wales,1472.0
2042,All ages,Total,Wales,3329436.0
2043,  0-4,Total,Wales,149107.0
2043,  5-9,Total,Wales,152804.0
2043, 10-14,Total,Wales,156652.0
2043, 15-19,Total,Wales,163062.0
2043, 20-24,Total,Wales,184638.0
2043, 25-29,Total,Wales,204725.0
2043, 30-34,Total,Wales,215721.0
2043, 35-39,Total,Wales,207897.0
2043, 40-44,Total,Wales,207904.0
2043, 45-49,Total,Wales,217412.0
2043, 50-54,Total,Wales,223111.0
2043, 55-59,Total,Wales,203989.0
2043, 60-64,Total,Wales,196239.0
2043, 65-69,Total,Wales,176166.0
2043, 70-74,Total,Wales,198317.0
2043, 75-79,Total,Wales,186388.0
2043, 80-84,Total,Wales,143222.0
2043, 85-89,Total,Wales,87230.0
2043, 90-94,Total,Wales,43172.0
2043, 95-99,Total,Wales,13887.0
2043, 100 & over,Total,Wales,1581.0
2043,All ages,Total,Wales,3333224.0
2044,  0-4,Total,Wales,149244.0
2044,  5-9,Total,Wales,153260.0
2044, 10-14,Total,Wales,156573.0
2044, 15-19,Total,Wales,163191.0
2044, 20-24,Total,Wales,182310.0
2044, 25-29,Total,Wales,201595.0
2044, 30-34,Total,Wales,215080.0
2044, 35-39,Total,Wales,211691.0
2044, 40-44,Total,Wales,204721.0
2044, 45-49,Total,Wales,216461.0
2044, 50-54,Total,Wales,225316.0
2044, 55-59,Total,Wales,208958.0
2044, 60-64,Total,Wales,197984.0
2044, 65-69,Total,Wales,176409.0
2044, 70-74,Total,Wales,191961.0
2044, 75-79,Total,Wales,185865.0
2044, 80-84,Total,Wales,147436.0
2044, 85-89,Total,Wales,89566.0
2044, 90-94,Total,Wales,43464.0
2044, 95-99,Total,Wales,14258.0
2044, 100 & over,Total,Wales,1701.0
2044,All ages,Total,Wales,3337044.0
2045,  0-4,Total,Wales,149160.0
2045,  5-9,Total,Wales,153829.0
2045, 10-14,Total,Wales,156517.0
2045, 15-19,Total,Wales,163143.0
2045, 20-24,Total,Wales,181441.0
2045, 25-29,Total,Wales,197405.0
2045, 30-34,Total,Wales,213557.0
2045, 35-39,Total,Wales,215220.0
2045, 40-44,Total,Wales,202726.0
2045, 45-49,Total,Wales,217794.0
2045, 50-54,Total,Wales,224366.0
2045, 55-59,Total,Wales,212893.0
2045, 60-64,Total,Wales,199226.0
2045, 65-69,Total,Wales,180010.0
2045, 70-74,Total,Wales,186078.0
2045, 75-79,Total,Wales,183700.0
2045, 80-84,Total,Wales,151369.0
2045, 85-89,Total,Wales,92494.0
2045, 90-94,Total,Wales,43628.0
2045, 95-99,Total,Wales,14448.0
2045, 100 & over,Total,Wales,1793.0
2045,All ages,Total,Wales,3340797.0
2046,  0-4,Total,Wales,148834.0
2046,  5-9,Total,Wales,154411.0
2046, 10-14,Total,Wales,156544.0
2046, 15-19,Total,Wales,163077.0
2046, 20-24,Total,Wales,182487.0
2046, 25-29,Total,Wales,191255.0
2046, 30-34,Total,Wales,211296.0
2046, 35-39,Total,Wales,218275.0
2046, 40-44,Total,Wales,202486.0
2046, 45-49,Total,Wales,217983.0
2046, 50-54,Total,Wales,222325.0
2046, 55-59,Total,Wales,218589.0
2046, 60-64,Total,Wales,200132.0
2046, 65-69,Total,Wales,185177.0
2046, 70-74,Total,Wales,177945.0
2046, 75-79,Total,Wales,183673.0
2046, 80-84,Total,Wales,153424.0
2046, 85-89,Total,Wales,95761.0
2046, 90-94,Total,Wales,44356.0
2046, 95-99,Total,Wales,14509.0
2046, 100 & over,Total,Wales,1871.0
2046,All ages,Total,Wales,3344410.0
2047,  0-4,Total,Wales,148306.0
2047,  5-9,Total,Wales,154878.0
2047, 10-14,Total,Wales,156707.0
2047, 15-19,Total,Wales,163010.0
2047, 20-24,Total,Wales,183017.0
2047, 25-29,Total,Wales,186625.0
2047, 30-34,Total,Wales,208564.0
2047, 35-39,Total,Wales,220285.0
2047, 40-44,Total,Wales,205724.0
2047, 45-49,Total,Wales,214485.0
2047, 50-54,Total,Wales,221187.0
2047, 55-59,Total,Wales,223752.0
2047, 60-64,Total,Wales,202672.0
2047, 65-69,Total,Wales,189307.0
2047, 70-74,Total,Wales,171412.0
2047, 75-79,Total,Wales,181941.0
2047, 80-84,Total,Wales,154603.0
2047, 85-89,Total,Wales,99205.0
2047, 90-94,Total,Wales,45636.0
2047, 95-99,Total,Wales,14317.0
2047, 100 & over,Total,Wales,2174.0
2047,All ages,Total,Wales,3347807.0
2048,  0-4,Total,Wales,147563.0
2048,  5-9,Total,Wales,155189.0
2048, 10-14,Total,Wales,157026.0
2048, 15-19,Total,Wales,162940.0
2048, 20-24,Total,Wales,183473.0
